order_id,sku_category,basket_size,pick_time,congestion_score,warehouse_wait_time,rider_distance_km,delivery_time,sla_breach,order_cost,city_zone,peak_hour,pick_cost,staging_cost,last_mile_cost
48,Beverages,1,23,4,7,6.75,47,1,96.9,South,0,34.5,8.4,54.0
49,Snacks,13,13,7,9,9.13,47,1,103.34,West,0,19.5,10.799999999999999,73.04
50,Snacks,6,33,2,20,11.39,77,1,164.62,North,1,49.5,24.0,91.12
51,Dairy,15,12,5,7,8.25,40,1,92.4,North,0,18.0,8.4,66.0
52,Fruits,12,21,10,15,1.93,49,1,64.94,North,1,31.5,18.0,15.44
53,Vegetables,11,40,9,3,6.17,64,1,112.96,East,1,60.0,3.5999999999999996,49.36
54,Household,1,34,1,1,10.67,57,1,137.56,East,1,51.0,1.2,85.36
55,Frozen,9,37,7,5,7.45,63,1,121.1,East,1,55.5,6.0,59.6
56,Beverages,9,12,1,17,2.8,35,1,60.8,East,1,18.0,20.4,22.4
57,Household,1,6,10,1,10.68,38,1,95.64,North,0,9.0,1.2,85.44
58,Household,13,15,9,10,5.07,44,1,75.06,West,1,22.5,12.0,40.56
59,Dairy,14,36,1,10,10.21,67,1,147.68,East,0,54.0,12.0,81.68
60,Household,11,27,6,13,9.24,64,1,130.02,North,1,40.5,15.6,73.92
61,Vegetables,5,17,8,20,11.44,67,1,141.02,North,0,25.5,24.0,91.52
62,Vegetables,5,21,1,3,5.29,35,1,77.42,North,0,31.5,3.5999999999999996,42.32
63,Frozen,8,19,4,6,7.08,43,1,92.34,North,1,28.5,7.199999999999999,56.64
64,Snacks,5,24,5,1,5.3,40,1,79.6,South,0,36.0,1.2,42.4
65,Vegetables,5,40,7,10,5.71,68,1,117.68,West,1,60.0,12.0,45.68
66,Dairy,11,39,2,16,10.21,77,1,159.38,East,1,58.5,19.2,81.68
67,Dairy,10,40,3,20,6.93,76,1,139.44,North,0,60.0,24.0,55.44
68,Frozen,4,23,10,5,11.48,60,1,132.34,West,1,34.5,6.0,91.84
69,Frozen,12,11,2,12,3.6,32,1,59.7,East,1,16.5,14.399999999999999,28.8
70,Vegetables,7,24,4,2,9.22,48,1,112.16,West,0,36.0,2.4,73.76
71,Beverages,13,14,4,12,9.17,48,1,108.76,West,1,21.0,14.399999999999999,73.36
72,Dairy,2,5,6,1,11.02,34,1,96.86,East,1,7.5,1.2,88.16
73,Beverages,5,23,8,1,7.84,47,1,98.42,North,1,34.5,1.2,62.72
74,Dairy,3,20,7,6,1.06,35,1,45.68,South,1,30.0,7.199999999999999,8.48
75,Vegetables,14,28,3,9,10.62,61,1,137.76,North,0,42.0,10.799999999999999,84.96
76,Frozen,6,30,3,8,4.13,49,1,87.64,North,1,45.0,9.6,33.04
77,Fruits,6,17,10,19,2.4,50,1,67.5,East,0,25.5,22.8,19.2
78,Vegetables,3,15,7,15,3.47,43,1,68.26,West,0,22.5,18.0,27.76
79,Vegetables,13,15,4,7,6.45,38,1,82.5,East,0,22.5,8.4,51.6
80,Beverages,5,35,4,16,2.95,60,1,95.3,South,0,52.5,19.2,23.6
81,Snacks,11,37,6,14,3.22,63,1,98.06,West,0,55.5,16.8,25.76
82,Fruits,9,8,7,15,2.49,34,1,49.92,South,1,12.0,18.0,19.92
83,Frozen,14,27,2,17,8.88,63,1,131.94,East,0,40.5,20.4,71.04
84,Snacks,8,33,1,5,5.77,50,1,101.66,North,1,49.5,6.0,46.16
85,Beverages,15,14,5,6,2.47,29,0,47.96,East,0,21.0,7.199999999999999,19.76
86,Beverages,12,20,2,20,9.2,60,1,127.6,North,1,30.0,24.0,73.6
87,Frozen,5,26,5,16,5.62,58,1,103.16,South,0,39.0,19.2,44.96
88,Frozen,1,25,7,3,4.84,44,1,79.82,West,1,37.5,3.5999999999999996,38.72
89,Snacks,13,21,8,8,11.0,59,1,129.1,East,1,31.5,9.6,88.0
90,Dairy,8,13,10,2,5.68,36,1,67.34,West,0,19.5,2.4,45.44
91,Dairy,2,18,4,17,2.36,43,1,66.28,North,1,27.0,20.4,18.88
92,Snacks,2,28,10,19,2.02,61,1,80.96,East,1,42.0,22.8,16.16
93,Snacks,6,26,8,4,1.64,41,1,56.92,West,0,39.0,4.8,13.12
94,Household,12,28,1,4,4.86,42,1,85.68,West,1,42.0,4.8,38.88
95,Snacks,12,22,9,1,6.61,45,1,87.08,East,0,33.0,1.2,52.88
96,Dairy,8,20,5,12,7.21,51,1,102.08,West,0,30.0,14.399999999999999,57.68
97,Frozen,5,36,9,11,10.72,77,1,152.96,East,1,54.0,13.2,85.76
98,Frozen,2,11,9,12,9.66,51,1,108.18,West,0,16.5,14.399999999999999,77.28
99,Beverages,4,18,7,5,3.82,37,1,63.56,West,0,27.0,6.0,30.56
100,Beverages,8,33,5,4,8.18,58,1,119.74,South,1,49.5,4.8,65.44
101,Fruits,15,26,1,3,3.07,36,1,67.16,North,0,39.0,3.5999999999999996,24.56
102,Household,10,38,5,15,7.61,73,1,135.88,East,1,57.0,18.0,60.88
103,Fruits,4,12,1,11,10.35,44,1,114.0,North,0,18.0,13.2,82.8
104,Fruits,7,24,7,9,10.39,60,1,129.92,West,0,36.0,10.799999999999999,83.12
105,Vegetables,4,12,8,16,7.14,50,1,94.32,East,0,18.0,19.2,57.12
106,Frozen,8,16,8,2,10.48,46,1,110.24,East,1,24.0,2.4,83.84
107,Dairy,7,13,7,12,7.52,47,1,94.06,West,1,19.5,14.399999999999999,60.16
108,Dairy,9,20,2,8,5.32,40,1,82.16,North,1,30.0,9.6,42.56
109,Dairy,13,39,10,6,3.77,62,1,95.86,West,0,58.5,7.199999999999999,30.16
110,Frozen,10,26,5,12,4.12,51,1,86.36,East,0,39.0,14.399999999999999,32.96
111,Frozen,3,17,6,2,10.35,45,1,110.7,West,0,25.5,2.4,82.8
112,Fruits,12,12,7,18,11.81,60,1,134.08,North,1,18.0,21.599999999999998,94.48
113,Fruits,15,30,6,9,6.23,57,1,105.64,East,0,45.0,10.799999999999999,49.84
114,Household,3,26,4,9,4.6,48,1,86.6,South,1,39.0,10.799999999999999,36.8
115,Dairy,6,9,1,5,10.84,36,1,106.22,East,0,13.5,6.0,86.72
116,Snacks,11,11,2,6,6.44,31,1,75.22,West,1,16.5,7.199999999999999,51.52
117,Snacks,4,37,8,7,11.5,75,1,155.9,East,1,55.5,8.4,92.0
118,Dairy,5,22,2,3,5.93,38,1,84.04,North,1,33.0,3.5999999999999996,47.44
119,Frozen,11,37,1,6,11.19,66,1,152.22,South,1,55.5,7.199999999999999,89.52
120,Fruits,6,16,7,14,3.23,43,1,66.64,East,0,24.0,16.8,25.84
121,Vegetables,14,28,4,3,7.56,50,1,106.08,South,1,42.0,3.5999999999999996,60.48
122,Dairy,14,27,1,16,8.47,60,1,127.46,East,0,40.5,19.2,67.76
123,Household,3,21,2,16,8.46,55,1,118.38,East,1,31.5,19.2,67.68
124,Dairy,5,10,8,13,11.5,54,1,122.6,West,1,15.0,15.6,92.0
125,Dairy,11,27,2,12,11.98,64,1,150.74,East,1,40.5,14.399999999999999,95.84
126,Fruits,14,31,7,1,10.73,60,1,133.54,West,1,46.5,1.2,85.84
127,Vegetables,12,12,9,9,4.26,38,1,62.88,West,0,18.0,10.799999999999999,34.08
128,Fruits,6,23,2,6,7.65,46,1,102.9,North,1,34.5,7.199999999999999,61.2
129,Dairy,12,8,4,14,7.72,41,1,90.56,East,0,12.0,16.8,61.76
130,Household,10,26,2,18,10.22,66,1,142.36,East,0,39.0,21.599999999999998,81.76
131,Frozen,6,14,7,6,5.37,37,1,71.16,North,1,21.0,7.199999999999999,42.96
132,Vegetables,14,8,5,10,2.23,27,0,41.84,South,0,12.0,12.0,17.84
133,Dairy,3,26,2,5,7.11,47,1,101.88,North,0,39.0,6.0,56.88
134,Snacks,9,31,7,20,7.28,72,1,128.74,West,0,46.5,24.0,58.24
135,Snacks,11,8,5,5,5.72,29,0,63.76,South,1,12.0,6.0,45.76
136,Frozen,10,30,1,13,2.31,48,1,79.08,West,1,45.0,15.6,18.48
137,Dairy,10,33,8,12,5.79,64,1,110.22,East,0,49.5,14.399999999999999,46.32
138,Dairy,6,28,4,20,11.41,74,1,157.28,South,1,42.0,24.0,91.28
139,Household,8,14,5,18,5.49,47,1,86.52,North,0,21.0,21.599999999999998,43.92
140,Dairy,13,26,7,14,4.48,55,1,91.64,North,1,39.0,16.8,35.84
141,Beverages,6,35,5,17,11.83,80,1,167.54,West,0,52.5,20.4,94.64
142,Fruits,4,38,4,13,3.99,62,1,104.52,South,0,57.0,15.6,31.92
143,Frozen,10,37,10,11,4.53,67,1,104.94,North,1,55.5,13.2,36.24
144,Dairy,8,39,3,5,7.3,61,1,122.9,South,0,58.5,6.0,58.4
145,Beverages,15,12,3,13,9.47,46,1,109.36,West,0,18.0,15.6,75.76
146,Beverages,12,34,8,7,2.18,53,1,76.84,North,1,51.0,8.4,17.44
147,Household,15,12,8,12,5.47,42,1,76.16,South,0,18.0,14.399999999999999,43.76
148,Snacks,3,27,6,2,2.89,40,1,66.02,South,0,40.5,2.4,23.12
149,Dairy,4,24,4,2,9.56,49,1,114.88,North,0,36.0,2.4,76.48
150,Snacks,12,29,7,8,2.82,49,1,75.66,East,1,43.5,9.6,22.56
151,Beverages,6,6,1,14,8.08,37,1,90.44,West,0,9.0,16.8,64.64
152,Vegetables,4,40,9,6,10.01,75,1,147.28,South,0,60.0,7.199999999999999,80.08
153,Household,3,25,8,3,9.44,54,1,116.62,North,0,37.5,3.5999999999999996,75.52
154,Snacks,7,37,4,9,4.61,59,1,103.18,West,0,55.5,10.799999999999999,36.88
155,Frozen,6,22,4,4,8.04,46,1,102.12,South,1,33.0,4.8,64.32
156,Snacks,2,15,10,6,9.2,49,1,103.3,East,0,22.5,7.199999999999999,73.6
157,Vegetables,14,32,5,3,10.12,60,1,132.56,South,0,48.0,3.5999999999999996,80.96
158,Household,6,16,7,11,5.86,45,1,84.08,North,1,24.0,13.2,46.88
159,Beverages,2,28,2,4,7.52,49,1,106.96,East,1,42.0,4.8,60.16
160,Frozen,15,29,5,7,5.5,52,1,95.9,East,0,43.5,8.4,44.0
161,Dairy,5,18,6,14,8.84,55,1,114.52,South,1,27.0,16.8,70.72
162,Frozen,3,22,3,4,11.61,52,1,130.68,North,0,33.0,4.8,92.88
163,Frozen,11,21,1,19,9.29,59,1,128.62,North,1,31.5,22.8,74.32
164,Fruits,1,16,7,5,3.44,34,1,57.52,West,0,24.0,6.0,27.52
165,Frozen,1,20,3,2,9.0,43,1,104.4,West,0,30.0,2.4,72.0
166,Vegetables,13,37,3,1,6.15,53,1,105.9,South,0,55.5,1.2,49.2
167,Frozen,14,24,7,2,4.5,42,1,74.4,North,0,36.0,2.4,36.0
168,Beverages,7,13,8,8,2.74,34,1,51.02,South,1,19.5,9.6,21.92
169,Dairy,15,11,6,16,4.91,42,1,74.98,North,1,16.5,19.2,39.28
170,Beverages,6,25,9,7,4.82,50,1,84.46,East,0,37.5,8.4,38.56
171,Fruits,10,29,10,17,6.79,69,1,118.22,West,1,43.5,20.4,54.32
172,Vegetables,10,8,9,12,8.42,45,1,93.76,North,1,12.0,14.399999999999999,67.36
173,Vegetables,15,17,4,7,11.81,51,1,128.38,East,1,25.5,8.4,94.48
174,Snacks,13,38,10,12,9.14,78,1,144.52,South,0,57.0,14.399999999999999,73.12
175,Beverages,6,15,7,12,7.97,49,1,100.66,East,0,22.5,14.399999999999999,63.76
176,Fruits,4,27,10,18,8.3,71,1,128.5,South,0,40.5,21.599999999999998,66.4
177,Fruits,13,17,5,13,7.18,49,1,98.54,West,1,25.5,15.6,57.44
178,Frozen,2,9,6,12,2.92,32,1,51.26,East,0,13.5,14.399999999999999,23.36
179,Dairy,14,37,7,17,5.48,71,1,119.74,South,0,55.5,20.4,43.84
180,Frozen,12,33,1,6,10.64,61,1,141.82,North,1,49.5,7.199999999999999,85.12
181,Fruits,9,30,3,4,4.96,46,1,89.48,West,0,45.0,4.8,39.68
182,Frozen,6,20,3,15,3.81,45,1,78.48,North,0,30.0,18.0,30.48
183,Household,13,32,9,7,7.17,62,1,113.76,East,0,48.0,8.4,57.36
184,Vegetables,5,14,6,9,7.05,43,1,88.2,West,0,21.0,10.799999999999999,56.4
185,Vegetables,4,8,3,19,1.54,33,1,47.12,South,0,12.0,22.8,12.32
186,Vegetables,2,26,1,7,3.53,41,1,75.64,South,0,39.0,8.4,28.24
187,Snacks,9,33,1,14,5.83,59,1,112.94,North,1,49.5,16.8,46.64
188,Vegetables,2,15,8,16,4.67,48,1,79.06,East,1,22.5,19.2,37.36
189,Beverages,14,16,1,7,3.66,31,1,61.68,South,1,24.0,8.4,29.28
190,Fruits,9,17,8,8,4.21,41,1,68.78,West,0,25.5,9.6,33.68
191,Frozen,11,28,10,5,9.47,61,1,123.76,East,0,42.0,6.0,75.76
192,Fruits,5,36,2,16,7.2,68,1,130.8,South,1,54.0,19.2,57.6
193,Snacks,6,19,6,20,4.46,53,1,88.18,South,1,28.5,24.0,35.68
194,Fruits,1,5,9,4,10.55,39,1,96.7,North,0,7.5,4.8,84.4
195,Beverages,11,7,5,4,1.95,19,0,30.9,South,1,10.5,4.8,15.6
196,Fruits,5,26,1,6,1.47,35,1,57.96,West,1,39.0,7.199999999999999,11.76
197,Household,10,37,5,8,6.77,63,1,119.26,South,1,55.5,9.6,54.16
198,Vegetables,4,10,10,8,2.08,32,1,41.24,South,1,15.0,9.6,16.64
199,Frozen,12,20,7,1,9.98,47,1,111.04,South,1,30.0,1.2,79.84
200,Vegetables,8,25,6,19,6.72,63,1,114.06,West,1,37.5,22.8,53.76
201,Household,2,36,1,17,4.95,63,1,114.0,West,0,54.0,20.4,39.6
202,Household,4,8,2,6,10.96,37,1,106.88,North,1,12.0,7.199999999999999,87.68
203,Dairy,1,38,9,3,11.87,73,1,155.56,North,1,57.0,3.5999999999999996,94.96
204,Dairy,8,13,4,10,1.36,29,0,42.38,South,1,19.5,12.0,10.88
205,Household,9,14,1,17,5.4,42,1,84.6,North,0,21.0,20.4,43.2
206,Beverages,9,31,3,18,3.25,58,1,94.1,South,1,46.5,21.599999999999998,26.0
207,Fruits,10,8,10,18,2.5,41,1,53.6,North,0,12.0,21.599999999999998,20.0
208,Frozen,9,6,7,10,11.49,45,1,112.92,West,1,9.0,12.0,91.92
209,Beverages,8,36,9,3,3.26,54,1,83.68,East,1,54.0,3.5999999999999996,26.08
210,Frozen,13,10,2,7,11.89,42,1,118.52,East,1,15.0,8.4,95.12
211,Dairy,11,17,10,3,4.92,39,1,68.46,South,1,25.5,3.5999999999999996,39.36
212,Household,14,37,2,16,11.51,78,1,166.78,East,1,55.5,19.2,92.08
213,Household,11,25,4,17,3.98,53,1,89.74,South,0,37.5,20.4,31.84
214,Household,9,12,1,1,1.78,17,0,33.44,North,0,18.0,1.2,14.24
215,Snacks,12,21,8,11,10.54,61,1,129.02,East,0,31.5,13.2,84.32
216,Beverages,8,9,7,13,10.66,50,1,114.38,East,0,13.5,15.6,85.28
217,Beverages,7,25,1,10,1.1,38,1,58.3,West,0,37.5,12.0,8.8
218,Vegetables,5,24,7,2,9.16,51,1,111.68,West,0,36.0,2.4,73.28
219,Household,5,5,1,17,2.22,27,0,45.66,West,1,7.5,20.4,17.76
220,Dairy,7,9,3,15,3.85,34,1,62.3,West,0,13.5,18.0,30.8
221,Beverages,6,14,6,12,10.8,53,1,121.8,South,1,21.0,14.399999999999999,86.4
222,Snacks,15,40,1,7,11.15,70,1,157.6,South,1,60.0,8.4,89.2
223,Fruits,2,22,8,2,2.24,36,1,53.32,West,1,33.0,2.4,17.92
224,Frozen,8,21,4,15,6.35,52,1,100.3,West,0,31.5,18.0,50.8
225,Dairy,1,40,2,20,8.72,79,1,153.76,West,1,60.0,24.0,69.76
226,Snacks,14,36,7,5,1.68,51,1,73.44,West,1,54.0,6.0,13.44
227,Vegetables,11,28,3,6,1.74,40,1,63.12,South,0,42.0,7.199999999999999,13.92
228,Household,13,15,3,18,9.16,54,1,117.38,West,0,22.5,21.599999999999998,73.28
229,Household,9,32,2,6,4.66,49,1,92.48,North,1,48.0,7.199999999999999,37.28
230,Household,4,24,10,11,7.37,59,1,108.16,South,1,36.0,13.2,58.96
231,Frozen,2,38,8,10,3.84,63,1,99.72,West,0,57.0,12.0,30.72
232,Frozen,13,20,6,8,1.12,36,1,48.56,East,0,30.0,9.6,8.96
233,Beverages,11,5,4,12,2.87,26,0,44.86,West,0,7.5,14.399999999999999,22.96
234,Frozen,1,26,10,14,3.57,57,1,84.36,West,0,39.0,16.8,28.56
235,Fruits,4,34,10,15,2.41,63,1,88.28,West,1,51.0,18.0,19.28
236,Vegetables,6,29,9,13,5.3,61,1,101.5,West,1,43.5,15.6,42.4
237,Beverages,14,31,6,16,7.18,67,1,123.14,North,1,46.5,19.2,57.44
238,Frozen,10,21,10,7,6.42,50,1,91.26,East,1,31.5,8.4,51.36
239,Frozen,7,37,10,18,11.94,88,1,172.62,South,1,55.5,21.599999999999998,95.52
240,Frozen,9,5,8,16,11.19,51,1,116.22,South,0,7.5,19.2,89.52
241,Dairy,6,39,7,5,10.76,72,1,150.58,West,0,58.5,6.0,86.08
242,Vegetables,12,15,8,18,9.74,60,1,122.02,South,0,22.5,21.599999999999998,77.92
243,Frozen,5,21,10,4,10.63,56,1,121.34,South,0,31.5,4.8,85.04
244,Fruits,12,9,3,17,7.26,43,1,91.98,East,0,13.5,20.4,58.08
245,Beverages,5,31,3,14,2.72,53,1,85.06,South,1,46.5,16.8,21.76
246,Snacks,11,22,4,5,3.32,37,1,65.56,East,1,33.0,6.0,26.56
247,Snacks,12,34,5,11,5.26,60,1,106.28,South,0,51.0,13.2,42.08
248,Frozen,12,9,9,2,4.42,28,0,51.26,South,0,13.5,2.4,35.36
249,Snacks,5,35,9,13,5.44,67,1,111.62,East,0,52.5,15.6,43.52
250,Frozen,10,19,8,20,11.71,70,1,146.18,South,1,28.5,24.0,93.68
251,Vegetables,7,8,1,16,9.06,43,1,103.68,South,1,12.0,19.2,72.48
252,Dairy,15,27,5,2,8.35,50,1,109.7,West,1,40.5,2.4,66.8
253,Household,6,15,8,17,6.35,52,1,93.7,North,0,22.5,20.4,50.8
254,Fruits,4,35,5,17,5.31,67,1,115.38,West,0,52.5,20.4,42.48
255,Beverages,15,39,2,16,11.93,80,1,173.14,West,0,58.5,19.2,95.44
256,Beverages,13,11,5,14,7.48,44,1,93.14,East,0,16.5,16.8,59.84
257,Snacks,10,31,10,18,10.1,79,1,148.9,West,1,46.5,21.599999999999998,80.8
258,Beverages,13,15,1,11,9.12,45,1,108.66,North,1,22.5,13.2,72.96
259,Vegetables,12,5,8,2,2.37,19,0,28.86,South,1,7.5,2.4,18.96
260,Vegetables,2,16,8,8,11.28,54,1,123.84,East,1,24.0,9.6,90.24
261,Beverages,1,30,1,14,8.77,62,1,131.96,East,0,45.0,16.8,70.16
262,Snacks,9,37,9,7,2.01,57,1,79.98,North,0,55.5,8.4,16.08
263,Frozen,5,25,7,9,2.45,45,1,67.9,North,1,37.5,10.799999999999999,19.6
264,Vegetables,11,14,4,19,3.08,43,1,68.44,North,0,21.0,22.8,24.64
265,Fruits,12,38,3,7,4.04,56,1,97.72,North,1,57.0,8.4,32.32
266,Vegetables,15,8,3,3,2.66,19,0,36.88,East,0,12.0,3.5999999999999996,21.28
267,Beverages,14,32,6,2,1.32,42,1,60.96,East,0,48.0,2.4,10.56
268,Household,11,25,8,4,10.71,58,1,127.98,West,1,37.5,4.8,85.68
269,Fruits,13,21,7,20,7.08,62,1,112.14,North,0,31.5,24.0,56.64
270,Vegetables,2,38,10,16,7.5,79,1,136.2,North,1,57.0,19.2,60.0
271,Snacks,8,12,10,11,8.51,50,1,99.28,South,1,18.0,13.2,68.08
272,Household,15,16,9,5,4.34,38,1,64.72,North,0,24.0,6.0,34.72
273,Vegetables,12,27,8,7,4.63,51,1,85.94,South,1,40.5,8.4,37.04
274,Fruits,13,31,3,5,5.08,49,1,93.14,East,1,46.5,6.0,40.64
275,Snacks,1,38,3,19,4.48,68,1,115.64,South,0,57.0,22.8,35.84
276,Snacks,5,26,5,6,11.7,60,1,139.8,North,0,39.0,7.199999999999999,93.6
277,Vegetables,1,26,2,18,10.66,67,1,145.88,West,0,39.0,21.599999999999998,85.28
278,Frozen,5,17,7,4,4.63,37,1,67.34,East,1,25.5,4.8,37.04
279,Snacks,8,33,2,5,1.52,43,1,67.66,East,0,49.5,6.0,12.16
280,Dairy,4,15,8,20,4.75,52,1,84.5,South,1,22.5,24.0,38.0
281,Fruits,13,36,10,7,5.45,63,1,106.0,North,0,54.0,8.4,43.6
282,Household,6,14,2,18,8.59,51,1,111.32,South,0,21.0,21.599999999999998,68.72
283,Dairy,11,5,4,2,6.62,24,0,62.86,West,1,7.5,2.4,52.96
284,Vegetables,4,31,2,13,8.87,63,1,133.06,North,1,46.5,15.6,70.96
285,Frozen,12,15,8,1,9.38,42,1,98.74,South,0,22.5,1.2,75.04
286,Dairy,11,27,10,5,5.02,52,1,86.66,South,0,40.5,6.0,40.16
287,Frozen,12,17,8,16,2.53,46,1,64.94,South,1,25.5,19.2,20.24
288,Snacks,12,21,9,19,2.27,53,1,72.46,North,0,31.5,22.8,18.16
289,Frozen,5,34,8,17,2.76,64,1,93.48,North,1,51.0,20.4,22.08
290,Frozen,7,11,8,12,6.44,43,1,82.42,South,1,16.5,14.399999999999999,51.52
291,Dairy,9,30,1,12,7.01,57,1,115.48,West,0,45.0,14.399999999999999,56.08
292,Household,6,26,5,20,4.11,59,1,95.88,South,0,39.0,24.0,32.88
293,Beverages,14,38,7,19,5.18,74,1,121.24,West,0,57.0,22.8,41.44
294,Fruits,2,10,1,1,4.06,20,0,48.68,West,1,15.0,1.2,32.48
295,Household,4,12,1,2,9.04,33,1,92.72,South,0,18.0,2.4,72.32
296,Vegetables,10,13,10,11,2.5,39,1,52.7,North,1,19.5,13.2,20.0
297,Beverages,11,13,5,14,5.58,43,1,80.94,South,1,19.5,16.8,44.64
298,Household,12,30,8,5,4.67,52,1,88.36,North,1,45.0,6.0,37.36
299,Frozen,10,12,4,16,9.12,50,1,110.16,East,1,18.0,19.2,72.96
300,Fruits,6,23,6,17,6.28,58,1,105.14,South,1,34.5,20.4,50.24
301,Frozen,5,37,9,18,4.7,73,1,114.7,East,1,55.5,21.599999999999998,37.6
302,Household,2,37,7,4,5.99,59,1,108.22,South,1,55.5,4.8,47.92
303,Vegetables,10,7,7,6,4.27,28,0,51.86,North,0,10.5,7.199999999999999,34.16
304,Fruits,11,10,10,20,6.18,52,1,88.44,North,1,15.0,24.0,49.44
305,Dairy,11,7,4,19,3.54,37,1,61.62,East,1,10.5,22.8,28.32
306,Snacks,14,28,5,9,7.32,56,1,111.36,South,1,42.0,10.799999999999999,58.56
307,Beverages,5,21,4,13,2.48,42,1,66.94,East,0,31.5,15.6,19.84
308,Frozen,7,28,5,12,10.42,65,1,139.76,East,0,42.0,14.399999999999999,83.36
309,Snacks,9,10,4,6,9.81,39,1,100.68,North,0,15.0,7.199999999999999,78.48
310,Frozen,11,30,3,17,4.71,59,1,103.08,West,0,45.0,20.4,37.68
311,Vegetables,5,29,8,2,11.69,62,1,139.42,East,0,43.5,2.4,93.52
312,Vegetables,9,23,9,12,11.31,66,1,139.38,East,0,34.5,14.399999999999999,90.48
313,Beverages,10,6,5,2,6.94,26,0,66.92,North,0,9.0,2.4,55.52
